id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,7.2201210059574805e-06,1.7096521332859993e-05,1.3167772522137966e-05,2.264726754219737e-05,6.655890956608346e-06,2.148547901015263e-05,2.9282373361638747e-05,5.7379853387828916e-05,0.00088216905714944,3.4793814847944304e-05,5.70260854146909e-05,3.466342241154052e-05,5.2150226110825315e-05,1.6000980394892395e-05,0.0001322453754255548,3.872941306326538e-05,9.625299753679428e-06,0.0007643114659003913,1.4696101061417721e-05,1.8107950381818227e-05,0.00018375026411376894,3.570017361198552e-05,1.6528976630070247e-05,4.7764591727172956e-05,1.6682142813806422e-05,8.185608749045059e-05,1.9820967281702906e-05,1.2925577721034642e-05,2.0187742848065682e-05,2.6476707716938108e-05,3.516741344355978e-05,0.00011552744399523363,3.267950160079636e-05,0.0005032517365179956,0.00015454461390618235,6.506213685497642e-05,1.8377118976786733e-05,7.450310658896342e-05,2.1524949715967523e-06,3.704485425259918e-05,1.6905982192838565e-05,4.64178629044909e-06,1.289884494326543e-05,1.2274274922674522e-05,4.420477489475161e-05,0.0006822431460022926,0.00011242544860579073,2.198320726165548e-05,2.4831562768667936e-05,8.15567636891501e-06,0.0001706344773992896,0.9891128540039062,0.0008035952341742814,1.5629319022991695e-05,4.83195144624915e-05,2.4685477910679765e-05,5.796962341264589e-06,7.281733360287035e-06,7.954971079016104e-05,2.0568562831613235e-05,0.0010228792671114206,1.3552415111917071e-05,0.0001244159648194909,5.228914233157411e-06,8.438758231932297e-05,2.288862924615387e-05,1.7237183783436194e-05,1.3447911442199256e-05,3.488332004053518e-05,7.670990453334525e-05,1.4767893844691571e-05,9.819063961913344e-06,3.0317171422211686e-06,4.26696460635867e-05,0.00023840651556383818,1.5846115275053307e-05,1.1624841135926545e-05,1.7186644981848076e-05,3.282981560914777e-05,0.0016666242154315114,4.408311360748485e-05,0.00010314130486221984,3.364397707628086e-05,0.0010635460494086146,2.482888703525532e-05,2.920503720815759e-05,1.837230047385674e-05,9.961790965462569e-06,6.940239018149441e-06,7.0426772253995296e-06,8.514248293067794e-06,4.295315739000216e-05,6.469461368396878e-05,1.9571540178731084e-05,2.201228380727116e-05,1.468221853428986e-05,1.039321614371147e-05,3.0732939194422215e-05,1.8252914742333815e-05
7,7.865632505854592e-05,0.00010308863420505077,0.0001268342020921409,0.00021976247080601752,0.00011491554323583841,0.0002346527180634439,0.0004860323097091168,0.00023731912369839847,0.00037759056431241333,0.000786812393926084,0.00025866134092211723,0.00023229124781209975,0.0001910436840262264,0.0037976817693561316,0.00014079626998864114,0.00024802685948088765,0.00023161369608715177,0.00022981432266533375,0.00029114409699104726,0.0041066864505410194,0.0001710591313894838,0.00044787934166379273,0.0003367341123521328,0.0002495553344488144,0.0009208015981130302,0.0002068456233246252,0.00015399750554934144,0.00017684548220131546,0.0005968046025373042,9.990188846131787e-05,0.0006960720638744533,0.000301045598462224,0.0005441702669486403,0.03808033466339111,0.00017413846217095852,8.845534466672689e-05,0.0006216946057975292,0.00034873373806476593,0.00029609326156787574,0.00017507578013464808,0.00017479152302257717,0.0004619079700205475,0.00010848581587197259,0.00011814989557024091,0.0006073290132917464,0.004947504494339228,0.0009711523889563978,0.0008277163724415004,0.0003553121932782233,0.00031974606099538505,0.643423318862915,0.001279160613194108,0.0013743469025939703,0.1771833896636963,0.005328703206032515,0.007255582604557276,0.0013562479289248586,0.0002651257091201842,0.0005248063243925571,0.0005121895228512585,0.0039976974949240685,0.00017058916273526847,0.00028860950260423124,0.00038941105594858527,0.0001344430638710037,0.0003869259962812066,7.588742300868034e-05,0.0004665305314119905,0.00032948009902611375,0.0009355094516649842,0.00031674568890593946,0.0003269237349741161,0.00031982234213501215,0.00019928606343455613,0.006244696211069822,0.00033152286778204143,0.00029562306008301675,0.0003568239917512983,0.0015063422033563256,0.002845129696652293,0.0005830341251567006,0.0002564832684583962,0.002318423008546233,0.0005527204484678805,0.005668935365974903,0.00023915967904031277,0.06303796172142029,0.0003205818065907806,0.0002051891788141802,0.00026051123859360814,5.9018497267970815e-05,0.00018450785137247294,0.00024959625443443656,0.0001072046288754791,0.00022232389892451465,0.00021940667647868395,0.0001862476347014308,0.0001175381985376589,0.0007185688591562212
9,1.4195666153682396e-05,0.9988686442375183,1.636253364267759e-05,4.440236807567999e-05,5.856051211594604e-05,8.298227839986794e-06,1.5220348359434865e-05,0.0001184232605737634,1.2398625585774425e-05,0.00012175680603832006,1.5423945569636999e-06,3.826918600680074e-06,8.214317858801223e-06,5.694060291716596e-06,8.62062461237656e-06,2.9355633159866557e-06,7.097836714820005e-06,3.153439138259273e-06,1.1427345270931255e-05,1.5551366914223763e-06,3.3854960292956093e-06,1.3271233001432847e-05,3.2182704217120772e-06,1.0158410987060051e-05,2.7363557819626294e-06,2.124294269378879e-06,0.00020004413090646267,1.3751769074588083e-06,5.699204848497175e-06,4.331110631028423e-06,1.429023268428864e-05,3.630666242315783e-06,6.324254400169593e-07,4.80057178720017e-06,1.2830251989726094e-06,1.1575640201044735e-05,7.417429969791556e-06,2.8984895834582858e-06,1.5244687574522686e-06,2.099031007674057e-06,2.2384722342394525e-06,2.0582920114975423e-05,2.2312979126581922e-06,1.9083922779827844e-06,2.3285789211513475e-05,3.0265798613982042e-06,1.2014173762509017e-06,4.933234322379576e-06,7.302036920009414e-06,5.844064162374707e-06,3.7757456539111445e-06,9.912393579725176e-06,5.813092229800532e-06,6.025709353707498e-07,1.598526432644576e-05,3.0598125704273116e-06,4.8017577682912815e-06,1.2783206102540134e-06,1.9144149518979248e-06,3.069056447202456e-06,6.492311968031572e-06,3.3402764074708102e-06,3.5195866985304747e-06,4.027759587188484e-06,8.048934432736132e-06,1.4589958254873636e-06,2.166103513445705e-06,3.8625025808869395e-06,5.26049325344502e-06,1.2611807505891193e-05,2.718211590035935e-06,6.165878403407987e-06,9.460696333007945e-07,2.6793841243488714e-06,3.119781240457087e-06,1.2490102562878747e-05,1.2996732948522549e-05,1.8166537074648659e-06,5.013498139305739e-06,1.0442880011396483e-05,1.546761268400587e-05,1.818050691326789e-06,5.309538664732827e-06,2.001180655497592e-05,9.791400771064218e-06,1.4535994523612317e-05,6.741349807271035e-06,6.436697276512859e-06,3.537357315508416e-06,6.730262157361722e-06,1.1854890544782393e-06,4.786724275618326e-06,3.3229225664399564e-06,1.9636632714536972e-05,1.834269596656668e-06,5.165736638446106e-06,4.392716618895065e-06,4.353011718194466e-06,4.139807970204856e-06
12,5.778614422524697e-07,2.390803274465725e-06,4.770326995640062e-06,1.6531624851268134e-06,1.1367443221388385e-05,8.08440654509468e-06,7.988170182215981e-06,1.3719098888032022e-06,4.632735453924397e-06,2.046672670985572e-05,8.140200407069642e-06,0.000251149496762082,8.191234996957064e-07,3.6496014217846096e-05,2.8331339763099095e-06,8.309044460474979e-06,6.762937118764967e-05,1.5224911749101011e-06,9.427222721569706e-06,0.9976442456245422,2.56313469435554e-05,9.431044418306556e-06,1.8274138710694388e-05,3.81799054594012e-06,5.529271220439114e-06,1.529792461951729e-05,2.572046469140332e-06,3.5711168493435252e-06,1.4447266039496753e-05,4.523731149674859e-06,8.657583748572506e-06,2.133031557605136e-06,5.088288162369281e-06,1.556071947561577e-05,7.911845386843197e-06,2.6413756586407544e-06,1.2708030226349365e-05,5.754496214649407e-06,8.937839993450325e-06,0.00014520094555336982,1.3232573110144585e-05,6.135780040494865e-06,3.9197188925754745e-06,7.74801605984976e-07,4.7058747441042215e-06,7.766849194013048e-06,4.250556230545044e-06,0.0006343804416246712,4.4803786295233294e-05,5.884806341782678e-06,1.2388931281748228e-05,2.2653769065072993e-06,1.1078742318204604e-05,5.983310256851837e-05,5.510657047125278e-06,8.347855327883735e-05,1.2252270607859828e-05,2.262813950437703e-06,7.462273288183496e-07,4.594268375512911e-06,1.6053483022915316e-06,1.6969834177871235e-06,2.590516487543937e-06,1.6805681298137642e-05,2.1065219698357396e-05,1.23418499242689e-06,1.2075696531610447e-06,2.9838479349564295e-06,1.9806607269856613e-06,5.217113994149258e-07,6.630533334828215e-06,2.294711521244608e-06,1.2436601537046954e-05,4.514116426435066e-06,0.0003105147334281355,3.6607193578674924e-06,6.513296739285579e-06,3.795132943196222e-05,4.5148208300815895e-05,1.0803221812238917e-05,9.276252967538312e-06,5.828479061165126e-06,1.0867662240343634e-05,2.6735744995676214e-06,3.733160701813176e-05,2.7825111828860827e-05,7.5211278272036e-06,2.469548462613602e-06,3.4709735245996853e-06,7.653941793250851e-06,3.7430979773489526e-06,4.2899569052679e-06,2.886005631808075e-06,2.4833741463226033e-06,1.5763487226649886e-06,7.90591639088234e-06,2.7229853003518656e-06,2.964692066598218e-05,5.954782409389736e-06
13,8.544121556042228e-06,5.9831145335920155e-06,1.5013744814496022e-05,1.1899558558070567e-05,1.0933091289189178e-05,5.5584669098607264e-06,1.7139295778179076e-06,2.7383279302739538e-05,1.2095598322048318e-05,6.055009635019815e-06,0.0006326375296339393,9.879428944259416e-06,3.135786027996801e-05,7.741591980447993e-05,0.9955772161483765,9.721718924993183e-06,4.4911848817719147e-05,0.00021090822701808065,7.518945494666696e-05,2.4902770746848546e-05,5.2176921599311754e-05,4.1239418351324275e-05,1.546684688946698e-05,6.849989586044103e-05,0.00021095007832627743,1.0398784979770426e-05,1.5008663467597216e-05,6.14499585935846e-05,1.8912660380010493e-05,5.2265941121731885e-06,2.3787668396835215e-05,7.413547791657038e-06,2.062679959635716e-05,1.0927389666903764e-05,0.00010737562843132764,6.179199772304855e-06,7.755924343655352e-06,2.4043122266448336e-06,2.082384526147507e-06,8.881558642315213e-06,4.70191889689886e-06,6.0377628869900946e-06,3.219263817300089e-05,1.8014878151006997e-05,6.056976781110279e-05,2.8236869184183888e-05,1.6532894733245485e-05,1.8460636056261137e-05,4.3961390474578366e-05,0.00024196755839511752,1.5797026208019815e-05,5.374936881707981e-05,7.662499410798773e-05,8.345305104739964e-06,4.2306714931328315e-06,1.206177785206819e-05,9.138286259258166e-06,7.772051503707189e-06,1.793474075384438e-05,3.4295085242774803e-06,4.900350177194923e-06,8.209599764086306e-05,6.238872447283939e-05,4.297409304854227e-06,1.9186250938219018e-05,6.82933523421525e-06,3.352335261297412e-05,3.7135903312446317e-06,7.057776201691013e-06,1.6280770068988204e-05,4.074324351677205e-06,1.2548306585813407e-05,1.7019845472532324e-05,0.00036229603574611247,6.856100662844256e-05,2.9538525268435478e-05,6.943963398953201e-06,2.1620060579152778e-05,4.644326054403791e-06,1.8690432625589892e-05,1.4888811165292282e-05,4.83826661366038e-05,6.1548043959192e-06,0.00018316948262508959,1.4485525753116235e-05,7.922647637315094e-05,7.58895021135686e-06,9.875491741695441e-06,5.609284926322289e-06,7.867337990319356e-05,1.4458157238550484e-05,0.00018283195095136762,0.00019925837113987654,2.720155316637829e-05,2.9768393687845673e-06,0.00012228349805809557,2.520967973396182e-05,5.99076565777068e-06,9.677558409748599e-06
16,8.039553904382046e-06,0.00013869850954506546,0.000190549370017834,0.9975551962852478,1.0550695151323453e-05,1.2685622095887084e-05,6.865458271931857e-05,0.0003622342483140528,2.64686495938804e-05,3.241485683247447e-05,1.2484495528042316e-05,1.6732472431613132e-05,6.618894985876977e-05,2.9812151751684723e-06,1.5187045391940046e-05,5.479169885802548e-06,6.8981057665951084e-06,3.074748019571416e-05,9.066195161722135e-06,8.074823199422099e-06,2.4638273316668347e-05,4.4283297029323876e-05,8.671731848153286e-06,6.113212748459773e-06,1.8462418665876612e-05,4.433195044839522e-06,2.44425955315819e-05,1.0020808076660614e-05,1.3442830095300451e-05,3.7883196455368306e-06,1.685738970991224e-05,1.9675027942867018e-05,1.1641481250990182e-05,1.9333765521878377e-05,1.950349997059675e-06,1.543773032608442e-05,3.385004310985096e-05,1.5524949503742391e-06,3.354312138981186e-05,8.472023182548583e-06,2.2518217519973405e-05,8.45242084324127e-06,4.597868610289879e-06,8.054179488681257e-06,2.3100814360077493e-05,7.749116775812581e-06,7.330285734497011e-05,2.651304839673685e-06,1.1857737263198942e-05,1.0984732398355845e-05,1.0518766430323012e-05,1.7108963220380247e-05,8.094984877971001e-06,7.229366019601002e-06,3.6418423405848444e-05,7.784433364577126e-06,1.1854559488710947e-05,1.9003316992893815e-05,1.225472897203872e-05,1.4950936929380987e-05,2.9714638003497384e-05,1.619719114387408e-05,1.6319650967488997e-05,1.2221244105603546e-05,6.40361467958428e-05,2.7660873456625268e-05,4.944850843457971e-06,1.217677981912857e-05,6.603828751394758e-06,3.131551784463227e-05,7.40345330996206e-06,4.682958660851e-06,9.470479199080728e-06,2.5114539312198758e-05,7.301076948351692e-06,1.5645482562831603e-05,1.105752835428575e-05,8.629393960291054e-06,6.98769008522504e-06,1.7401807781425305e-05,8.37677998788422e-06,7.279996225406649e-06,0.00023012715973891318,1.2354319551377557e-05,7.624911631864961e-06,1.0038953405455686e-05,1.0146020031243097e-05,3.594418740249239e-05,3.084903028138797e-06,8.986372449726332e-06,1.3300201317179017e-05,4.895344318356365e-06,3.3484244340797886e-05,7.496925718442071e-06,7.900191121734679e-06,9.416937245987356e-06,2.265884540975094e-05,5.180879270483274e-06,8.487388186040334e-06
19,3.92229685530765e-06,7.081622607074678e-05,0.00013856326404493302,0.9983518123626709,6.555631443916354e-06,8.009004886844195e-06,3.185991590726189e-05,0.00034056190634146333,1.606850855750963e-05,2.1934558390057646e-05,5.175200385565404e-06,9.333759408036713e-06,9.876026888377964e-05,2.2744220586901065e-06,1.155491827375954e-05,3.0413802960538305e-06,3.7437991977640195e-06,1.3919892808189616e-05,5.70456813875353e-06,4.700440058513777e-06,1.3426060831989162e-05,1.2106840586056933e-05,5.473399141919799e-06,4.574386821332155e-06,1.4817832379776519e-05,3.0755325042264303e-06,2.127448533428833e-05,7.465697308361996e-06,8.677391633682419e-06,1.9030330804525875e-06,8.539684131392278e-06,1.8356062355451286e-05,5.705422154278494e-06,7.344424375332892e-06,1.3689684692508308e-06,1.1178645763720851e-05,1.4206193554855417e-05,1.1632030236796709e-06,2.9198656193329953e-05,5.793744549009716e-06,1.5159537724684924e-05,4.803677711606724e-06,2.8693921194644645e-06,5.386532848206116e-06,1.2267824786249548e-05,5.576053354161559e-06,9.963428601622581e-05,1.5172533949225908e-06,8.798394446785096e-06,4.74424587082467e-06,5.68714222026756e-06,1.0674839359126054e-05,3.2183263556362363e-06,4.340154191595502e-06,2.074473559332546e-05,4.424717644724296e-06,9.032667549035978e-06,1.1724442629201803e-05,6.3204183788911905e-06,6.89454145685886e-06,1.1917199117306154e-05,6.889085852890275e-06,7.770310730847996e-06,8.753133442951366e-06,3.747977098100819e-05,2.0176270481897518e-05,2.9230657219159184e-06,1.0903823749686126e-05,5.670797236234648e-06,1.1454888408479746e-05,5.994550065224757e-06,2.2061888103053207e-06,5.678785782947671e-06,1.6317409972543828e-05,5.616073849523673e-06,1.132514989876654e-05,6.526362540171249e-06,1.4367662515724078e-05,4.244173851475352e-06,9.90047374216374e-06,4.944997272104956e-06,4.3430527512100525e-06,8.072155469562858e-05,7.890779670560732e-06,3.8927310015424155e-06,6.4300479607481975e-06,4.26610313297715e-06,2.5107690817094408e-05,2.545833012845833e-06,4.2811343519133516e-06,4.737857580039417e-06,2.9483578600775218e-06,1.81986833922565e-05,3.231363280065125e-06,3.800083277383237e-06,6.7289611251908354e-06,1.3852870324626565e-05,2.3266823063750053e-06,6.045571808499517e-06
23,3.6885767258354463e-06,5.554371909965994e-06,7.283181184902787e-05,2.848384838216589e-06,1.4646917406935245e-05,1.7988442778005265e-05,8.99248116184026e-05,7.702396942477208e-06,6.812459469074383e-05,1.9762583178817295e-05,6.143065547803417e-06,1.5688858184148557e-05,2.7872115424543153e-06,1.0012545317295007e-05,3.2177001685340656e-06,0.000251916004344821,1.1951080523431301e-05,2.2609185634792084e-06,6.4753521655802615e-06,8.404674190387595e-06,7.621603799634613e-06,7.00019654686912e-06,1.604656245035585e-05,4.2641204345272854e-05,5.1023500418523327e-05,1.8422420907882042e-05,3.7421141314553097e-06,4.21855384047376e-06,0.9981585144996643,0.00017732603009790182,3.208986890967935e-05,1.999940195673844e-06,2.547791700635571e-05,1.6427597074653022e-05,1.274177247978514e-05,3.3068619814002886e-05,3.0940027500037104e-05,4.180281393928453e-05,2.629061054904014e-05,1.9423547200858593e-05,2.1084080799482763e-05,4.266624273441266e-06,3.229186768294312e-05,6.403385668818373e-06,3.098227898590267e-05,4.008583346148953e-05,7.743214155198075e-06,7.6108399298391305e-06,4.063354936079122e-06,8.861271453497466e-06,2.8831329473177902e-05,6.286675215960713e-06,4.8069086915347725e-06,1.7054788941095467e-06,2.8220088097441476e-06,2.164942452509422e-05,4.790483671968104e-06,2.676883013918996e-05,2.6398804493510397e-06,4.74547687190352e-06,1.9665909348987043e-05,5.386491466197185e-06,5.022232471674215e-06,4.632043783203699e-06,2.507570798115921e-06,4.976170657755574e-07,2.8749468583555426e-06,7.967645615281072e-06,1.7271237311433651e-06,3.011556827914319e-06,1.585101017553825e-05,1.2677977792918682e-05,1.110190714825876e-05,1.9981916921096854e-06,1.3066967767372262e-05,5.18377055414021e-06,4.4944140427105594e-06,4.605074082064675e-06,1.3350473636819515e-05,1.6571668311371468e-05,7.195154921646463e-06,2.8196843686600914e-06,1.4755631127627566e-05,2.1034120436524972e-06,3.3588430596864782e-06,3.937223937100498e-06,8.10999972600257e-06,2.0194556782371365e-05,3.936572466045618e-05,6.345455767586827e-05,1.0196450602961704e-05,1.090283603844e-05,1.573844565427862e-05,1.0065642527479213e-05,1.5415904499604949e-06,3.816146090684924e-06,5.0586832003318705e-06,3.207125018889201e-06,4.7749986151757184e-06
24,1.8424091194901848e-06,1.8627282543093315e-06,4.8647553541059096e-08,6.542721280311525e-07,3.826893646419194e-07,2.15648043422334e-07,2.199260649149437e-07,1.9358506051503355e-06,1.738250148264342e-06,2.0145562302786857e-06,2.552799514887738e-06,2.367665956626297e-06,1.1021975296898745e-06,0.0002033726777881384,6.193552053446183e-06,5.63730111480254e-07,7.4881409091176465e-06,4.790177285940445e-07,2.475415931257885e-05,4.4848729885416105e-06,7.861964695621282e-05,2.8650317744904896e-06,9.985453743865946e-07,2.150580939996871e-06,1.2141202887505642e-06,1.5209816410788335e-06,7.669836463719548e-07,1.8023301890934817e-06,6.036290187694249e-07,6.244367796170991e-06,4.705487299361266e-06,4.97847713631927e-06,5.57256441879872e-07,1.8784059648169205e-05,3.429489368045324e-07,2.8916178962390404e-07,3.7655374285350263e-07,1.0828304766619112e-05,6.440283755182463e-07,2.0681877686001826e-06,2.8458334782044403e-06,5.6789504014886916e-06,2.4467860271215613e-07,3.6274500416766386e-06,3.113732987003459e-07,3.8957162473707285e-07,6.386084123732871e-07,9.89863747236086e-06,4.34718594988226e-06,1.1682748663588427e-05,5.373446128942305e-06,1.0674289114831481e-06,1.029905160976341e-05,5.752108791057253e-06,1.0681727871997282e-05,1.6248655811068602e-05,1.7907823348650709e-06,7.646013955309172e-07,1.3897873714086018e-06,2.957242202228372e-07,7.095188720995793e-06,7.110073170224496e-07,5.493859589478234e-06,6.340503091450955e-07,1.7354010424242006e-06,1.756392720153599e-07,4.5759310296489275e-07,1.9103792510577478e-05,1.1027273103536572e-06,5.457115435092419e-07,1.9356632208200608e-07,7.648807240911992e-07,7.905033271526918e-06,9.086406294045446e-07,4.918292324873619e-05,9.577468063071137e-08,6.113306767474569e-07,9.200491149385925e-06,4.718773709555535e-07,2.58372870121093e-06,1.623481466594967e-06,7.998516480256512e-07,6.87565659518441e-07,4.746977538161445e-06,0.9993257522583008,1.4636005118973117e-07,6.741193828929681e-06,5.274297905089043e-07,1.4827105587755796e-06,4.23454912379384e-06,1.0074160172734992e-06,9.954680535884108e-06,4.971619205207389e-07,9.072205671145639e-07,2.331227733520791e-06,1.2086196875316091e-05,1.48179890402389e-06,1.3619936908071395e-05,4.429681212059222e-06
28,3.7274435271683615e-06,3.814287310888176e-06,8.62535489432048e-06,1.8407416746413219e-06,1.8457658370607533e-06,4.814303792954888e-06,3.939714133593952e-06,0.00010770117660285905,0.9993768334388733,5.130903446115553e-06,2.1848376491107047e-05,3.5132983612129465e-05,4.8025831347331405e-06,2.691094414331019e-05,1.4522425999530242e-06,1.9326475921843667e-06,4.007316420029383e-06,9.441585461900104e-06,7.990245649125427e-06,2.0664047042373568e-06,1.0561618182691745e-05,2.28496833187819e-06,2.0700615550595103e-06,2.088462906613131e-06,5.244050043984316e-06,6.76873060001526e-06,7.458278332705959e-07,6.141135600046255e-07,1.7040425518644042e-05,9.75744910647336e-07,1.096753976526088e-06,2.2490714854939142e-06,1.3127427109793643e-06,1.896137291623745e-05,1.0423693765915232e-06,1.477376736147562e-05,5.027475253882585e-06,1.83681379439804e-06,8.433253810835595e-07,2.9053455818939256e-06,1.185545352200279e-05,6.140518053143751e-06,1.3206272342358716e-06,1.4925572031643242e-06,4.512207397056045e-06,9.467563359066844e-06,7.18506817065645e-06,1.7849181404017145e-06,4.5346765546128154e-05,9.276305377170502e-07,2.6697050543589285e-06,1.3818050319969188e-05,2.6910777251032414e-06,2.4226803816418396e-06,1.0029216355178505e-06,1.1749474424505024e-06,2.0860136373812566e-07,7.607446832480491e-07,5.915979954806971e-07,3.8837032434457797e-07,1.583406083227601e-05,7.3988826443383e-07,2.401756376002595e-07,4.6759146243857685e-07,4.844688646699069e-06,1.1534006034708e-06,2.965821295219939e-07,1.8713934650804731e-06,8.147305834427243e-07,9.310444966104114e-07,2.989976337630651e-06,6.253927153920813e-07,2.220775286332355e-06,4.1265823824687686e-07,6.926451533217914e-06,3.7855480172765965e-07,1.193325147141877e-06,4.56501720691449e-06,2.5189992811647244e-06,3.554180921128136e-06,9.628801080907579e-07,3.009406782439328e-06,1.7470641751060612e-06,8.242066542152315e-06,4.503931450017262e-06,1.3904217439630884e-06,7.128429047043028e-07,1.3574383501691045e-06,7.136115414141386e-07,1.3494209269993007e-05,6.12970268321078e-07,2.1773485059384257e-06,2.3748983949190006e-05,2.028295784839429e-05,3.821620794042246e-06,9.272047464037314e-06,6.600627102670842e-07,1.4428759413931402e-06,1.0808527122208034e-06
